df,1 ,2 ,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
24,,4.371 ,4.955 ,5.315 ,5.577 ,5.783 ,5.952 ,6.096 ,6.221 ,6.332 ,6.431 ,6.520 ,6.602 ,6.670 ,6.747 ,6.812 ,,6.930 ,,7.034 ,,7.128 ,,7.213 ,,7.291 ,,7.362 ,,,,7.491 ,,7.549 ,,7.603 ,,7.655,,7.704 ,,,,,,,,,,7.914 ,,,,,,,,,,8.083 ,,,,,,,,,,8.226 ,,,,,,,,,,8.348 ,,,,,,,,,,8.455 ,,,,,,,,,,8.551
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,4.285 ,4.841 ,5.181 ,5.428 ,5.621 ,5.780 ,5.914 ,6.031 ,6.135 ,6.227 ,6.310 ,6.387 ,6.456 ,6.521 ,6.581 ,,6.691 ,,6.788 ,,6.875,,6.954,,7.026,,7.093,,,,7.212,,7.265,,7.316,,7.364,,7.409,,,,,,,,,,7.603,,,,,,,,,,7.760,,,,,,,,,,7.893,,,,,,,,,,8.006,,,,,,,,,,8.105 ,,,,,,,,,,8.193
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
